305 湖北 67592 41966 2931 0 0 
305 山东 758 602 6 0 0 
305 北京 422 298 8 0 0 
305 广东 1352 1233 7 0 0 
305 四川 539 428 3 0 0 
305 黑龙江 481 380 12 0 0 
305 浙江 1215 1141 1 0 0 
305 香港 105 46 2 0 0 
305 湖南 1018 946 4 0 0 
305 重庆 576 512 6 0 0 
305 广西 252 217 2 0 0 
305 甘肃 102 87 2 0 0 
305 贵州 146 144 2 0 0 
305 江苏 631 588 0 0 0 
305 辽宁 125 106 1 0 0 
305 河北 318 304 6 0 0 
305 内蒙古 75 65 1 0 0 
305 河南 1272 1241 22 0 0 
305 安徽 990 970 6 0 0 
305 天津 136 128 3 0 0 
305 海南 168 158 6 0 0 
305 宁夏 75 69 0 0 0 
305 福建 296 278 1 0 0 
305 云南 174 169 2 0 0 
305 吉林 93 88 1 0 0 
305 新疆 76 70 6 0 0 
305 青海 18 18 0 0 0 
305 西藏 1 1 0 0 0 
305 澳门 10 9 0 0 0 
306 湖北 74 1502 28 0 0 
306 山东 0 23 0 0 0 
306 北京 4 5 0 0 0 
306 广东 1 24 0 0 0 
306 四川 0 20 0 0 0 
306 黑龙江 0 22 0 0 0 
306 浙江 0 8 0 0 0 
306 香港 2 5 0 0 0 
306 湖南 0 13 0 0 0 
306 重庆 0 8 0 0 0 
306 广西 0 2 0 0 0 
306 甘肃 17 0 0 0 0 
306 贵州 0 0 0 0 0 
306 江苏 0 13 0 0 0 
306 辽宁 0 0 0 0 0 
306 河北 0 1 0 0 0 
306 内蒙古 0 0 0 0 0 
306 河南 0 0 0 0 0 
306 安徽 0 9 0 0 0 
306 天津 0 0 0 0 0 
306 海南 0 0 0 0 0 
306 宁夏 0 2 0 0 0 
306 福建 0 6 0 0 0 
306 云南 0 1 0 0 0 
306 吉林 0 2 0 0 0 
306 新疆 0 1 0 0 0 
306 青海 0 0 0 0 0 
306 西藏 0 0 0 0 0 
306 澳门 0 1 0 0 0 
307 湖北 41 1543 27 0 0 
307 广东 0 17 0 0 0 
307 河南 0 3 0 0 0 
307 浙江 0 8 0 0 0 
307 湖南 0 6 0 0 0 
307 安徽 0 2 0 0 0 
307 山东 0 12 0 0 0 
307 江苏 0 9 0 0 0 
307 重庆 0 6 0 0 0 
307 四川 0 9 0 0 0 
307 黑龙江 0 7 0 0 0 
307 北京 2 5 0 0 0 
307 河北 0 2 0 0 0 
307 福建 0 11 0 0 0 
307 广西 4 0 0 0 0 
307 云南 0 0 0 0 0 
307 海南 0 0 0 0 0 
307 贵州 0 2 0 0 0 
307 天津 0 0 0 0 0 
307 辽宁 0 2 0 0 0 
307 甘肃 1 0 0 0 0 
307 香港 2 4 0 0 0 
307 吉林 0 0 0 0 0 
307 新疆 0 1 0 0 0 
307 内蒙古 0 3 0 0 0 
307 宁夏 0 0 0 0 0 
307 青海 0 0 0 0 0 
307 澳门 0 0 0 0 0 
307 西藏 0 0 0 0 0 
307 江西 0 2 0 0 0 
307 山西 0 0 0 0 0 
307 上海 0 7 0 0 0 
307 陕西 0 0 0 0 0 
